,text,time,location,source,like_count,quote_count,reply_count,retweet_count,lang,split_text
1342,ftc must fals advertis,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['ftc', 'must', 'fals', 'advertis']"
1343,httpstcoutrhk9mfig good interview w expert bot issu musti shallow diver deep water much time,2022-05-18,"Oakland CA since '83, NYC4evah",Twitter Web App,0,0,0,0,en,"['httpstcoutrhk9mfig', 'good', 'interview', 'w', 'expert', 'bot', 'issu', 'musti', 'shallow', 'diver', 'deep', 'water', 'much', 'time']"
1344,11th mention wallstreetbet last 24 hour via httpstcotywnbqe0co twtr httpstcofkcnaym7qb,2022-05-18,,topstonks,0,0,0,0,en,"['11th', 'mention', 'wallstreetbet', 'last', '24', 'hour', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstcofkcnaym7qb']"
1345,employe say wrong capitalist mindset think profit um honey wtf thin httpstcortvyepnzw3,2022-05-18,"Scottsdale, AZ",Twitter Web App,27,0,5,2,en,"['employe', 'say', 'wrong', 'capitalist', 'mindset', 'think', 'profit', 'um', 'honey', 'wtf', 'thin', 'httpstcortvyepnzw3']"
1347,one bright light right board face major decis httpstco1xpq84nxlw,2022-05-18,,Twitter Web App,0,0,0,0,en,"['one', 'bright', 'light', 'right', 'board', 'face', 'major', 'decis', 'httpstco1xpq84nxlw']"
1348,cc httpstcos65jtduyu7,2022-05-18,Traiectum Mosae,Twitter Web App,0,0,0,0,en,"['cc', 'httpstcos65jtduyu7']"
1351,next vertic integr social media doge httpstcooyrnpzvpmf,2022-05-18,,Twitter Web App,0,0,1,0,en,"['next', 'vertic', 'integr', 'social', 'media', 'doge', 'httpstcooyrnpzvpmf']"
1352,fake companythey narr manag peopl control msmif el httpstcoaxd3ticsp2,2022-05-18,,Twitter Web App,0,0,0,0,en,"['fake', 'companythey', 'narr', 'manag', 'peopl', 'control', 'msmif', 'el', 'httpstcoaxd3ticsp2']"
1353,2 twitter board said plan enforc 44 billion agreement bought propos httpstco1nps55hjyi,2022-05-18,NYC Metro & South Florida,Twitter Web App,0,0,1,0,en,"['2', 'twitter', 'board', 'said', 'plan', 'enforc', '44', 'billion', 'agreement', 'bought', 'propos', 'httpstco1nps55hjyi']"
1354,sentmiment week wallstreetmoon watch wallstreetmoon httpstcoc7s4xjkxkr,2022-05-18,,Wall Street Mooners,0,0,0,0,en,"['sentmiment', 'week', 'wallstreetmoon', 'watch', 'wallstreetmoon', 'httpstcoc7s4xjkxkr']"
1355,chart analysi peopl call crazi go 169 level unless new thin httpstcouakhhrhwuz,2022-05-18,Crypto Park,IFTTT,0,0,0,0,en,"['chart', 'analysi', 'peopl', 'call', 'crazi', 'go', '169', 'level', 'unless', 'new', 'thin', 'httpstcouakhhrhwuz']"
1356,mani thing not know yesterday bash ceo good exampl stay humbl httpstco2vvkzsxcxc,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['mani', 'thing', 'not', 'know', 'yesterday', 'bash', 'ceo', 'good', 'exampl', 'stay', 'humbl', 'httpstco2vvkzsxcxc']"
1357,think fintwit need ralli behind short ground buy true valu httpstcojytz1h05hd,2022-05-18,,Twitter for iPhone,0,0,0,0,en,"['think', 'fintwit', 'need', 'ralli', 'behind', 'short', 'ground', 'buy', 'true', 'valu', 'httpstcojytz1h05hd']"
1358,see uptick chatter wallstreetbet last 24 hour via httpstcotywnbqe0co twtr httpstcoakkocgm4m7,2022-05-18,,topstonks,0,0,0,0,en,"['see', 'uptick', 'chatter', 'wallstreetbet', 'last', '24', 'hour', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstcoakkocgm4m7']"
1359,out httpstcovqmpf9ibfh,2022-05-18,,Twitter Web App,0,0,0,0,en,"['out', 'httpstcovqmpf9ibfh']"
1361,anoth invest opportun dont thank httpstco41ezzxlnz,2022-05-18,,Twitter Web App,2,0,0,1,en,"['anoth', 'invest', 'opportun', 'dont', 'thank', 'httpstco41ezzxlnz']"
1362,transpir file lt5 compelet innacur amp mislead deal httpstcoepzwzo048d,2022-05-18,,Twitter Web App,0,0,0,0,en,"['transpir', 'file', 'lt5', 'compelet', 'innacur', 'amp', 'mislead', 'deal', 'httpstcoepzwzo048d']"
1363,would done fals inform file,2022-05-18,,Twitter Web App,0,0,1,0,en,"['would', 'done', 'fals', 'inform', 'file']"
1365,what call brilliant jerk like mush bezo forc peopl see httpstcofvb7jauu4b,2022-05-19,,TweetDeck,0,0,0,0,en,"['what', 'call', 'brilliant', 'jerk', 'like', 'mush', 'bezo', 'forc', 'peopl', 'see', 'httpstcofvb7jauu4b']"
1366,wow think freespeech import potenti httpstco63h5uj5qna,2022-05-19,"England, United Kingdom",Twitter for iPhone,0,0,0,0,en,"['wow', 'think', 'freespeech', 'import', 'potenti', 'httpstco63h5uj5qna']"
1368,10th mention wallstreetbet last 7 day via httpstcotywnbqe0co wallstreetb,2022-05-19,Midgar Edge,Twitter for iPhone,0,0,0,0,en,"['10th', 'mention', 'wallstreetbet', 'last', '7', 'day', 'via', 'httpstcotywnbqe0co', 'wallstreetb']"
1369,10th mention wallstreetbet last 7 day via httpstcotywnbqe0co twtr httpstcouut1t4dfhw,2022-05-19,,topstonks,1,0,0,1,en,"['10th', 'mention', 'wallstreetbet', 'last', '7', 'day', 'via', 'httpstcotywnbqe0co', 'twtr', 'httpstcouut1t4dfhw']"
1370,clip via news muskbuystwitt httpstcoxvyryuwly1,2022-05-19,DeCenterized Tokyo🗼⇄NY🗽,Twitter for iPhone,0,0,1,0,en,"['clip', 'via', 'news', 'muskbuystwitt', 'httpstcoxvyryuwly1']"
1371,manipul ai 365 day year sinc social media went public like prior peopl control,2022-05-19,,Twitter for iPhone,0,0,0,0,en,"['manipul', 'ai', '365', 'day', 'year', 'sinc', 'social', 'media', 'went', 'public', 'like', 'prior', 'peopl', 'control']"
